手机型号,上市时间,最低价格,最高价格,最小RAM,最大RAM,最小ROM,最大ROM,重量,屏幕尺寸,x0_AMOLED,x0_LCD,x0_LTPS,x0_LTPS LCD,x0_OLED,x0_Optic AMOLED,x0_Super AMOLED,x0_TFT LCD,分辨率,芯片型号,CPU得分,CPU核数,CPU主频率,GPU,操作系统,摄像头数,后置主像素,前置主像素,电池容量,x0_Micro USB,x0_Type-C,x0_USB-C,充电功率,x0_全网通,x0_No,x0_Yes,无线充电,target
6.0,0.8225935539414551,2.083170002495449,2.327347451349662,1.0822506690041538,0.2532542841616624,0.38160434776216234,2.3850697142562196,0.5339413185451489,0.3260918787969104,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,17.0,1.5288125996088617,8,1.3071393789194117,0.0,17.0,1.307058336753398,0.17146052598645342,1.4653452352600513,0.8361175422113547,0.0,1.0,0.0,1.258894329766731,1.0,0.0,1.0,3.7147499328021545,1
4.0,0.8225935539414551,1.2459591104655525,1.1013059698484664,1.0822506690041538,0.2532542841616624,0.38160434776216234,0.4136949521477603,0.4486778465693477,0.4829955975637285,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,17.0,1.5288125996088617,8,1.3071393789194117,0.0,17.0,0.15287232008811652,0.17146052598645342,0.5699800131082344,0.31192405430482284,0.0,1.0,0.0,1.258894329766731,1.0,0.0,1.0,3.7147499328021545,1
5.0,0.5028657614967427,1.7841661124847719,1.5610715254114147,1.0822506690041538,0.2532542841616624,0.38160434776216234,0.4136949521477603,0.5339413185451489,0.3260918787969104,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,16.0,1.275122974315129,8,1.3071393789194117,0.0,17.0,1.307058336753398,0.17146052598645342,1.4653452352600513,0.8361175422113547,0.0,1.0,0.0,1.258894329766731,1.0,1.0,0.0,3.7147499328021545,1
3.0,0.5028657614967427,0.7675528864484688,0.5904553525563014,0.06405845081332996,0.2532542841616624,0.38160434776216234,-0.5719924289064693,0.4486778465693477,0.4829955975637285,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,16.0,1.6179467922796338,8,1.3071393789194117,0.0,17.0,0.15287232008811652,0.17146052598645342,0.5699800131082344,0.31192405430482284,0.0,1.0,0.0,1.258894329766731,1.0,1.0,0.0,3.7147499328021545,0
1.0,-1.2530163773389726,1.2459591104655525,1.1523910315776829,0.06405845081332996,0.2532542841616624,0.38160434776216234,0.4136949521477603,0.1502556946540435,0.08201942738185866,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,15.0,0.6031882911046991,8,0.5885970656125489,21.0,13.0,0.15287232008811652,0.17146052598645342,0.5699800131082344,0.31192405430482284,0.0,1.0,0.0,1.258894329766731,1.0,1.0,0.0,1.9014075625873097,0
0.0,-1.2530163773389726,-0.1294587835835633,-0.12473551165272935,0.06405845081332996,-0.5780804312385779,-0.7708407824795682,-0.5719924289064693,0.10762395866614291,0.3260918787969104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,0.5963318147454093,8,0.5885970656125489,21.0,13.0,0.15287232008811652,-1.16413603960315,0.5699800131082344,-0.03753827096619836,0.0,1.0,0.0,1.258894329766731,1.0,1.0,0.0,-0.36527040018124635,1
2.0,0.5028657614967427,1.1263575544612816,0.7437105377439509,1.0822506690041538,0.2532542841616624,2.686494608245624,0.4136949521477603,2.02605207812167,1.4941528962832247,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,0.7403178182905009,8,0.5885970656125489,21.0,13.0,0.15287232008811652,0.17146052598645342,0.5699800131082344,0.31192405430482284,0.0,1.0,0.0,1.258894329766731,1.0,0.0,1.0,-0.36527040018124635,0
8.0,-0.2990744392252408,1.2393810248853177,1.0956866130582525,1.0822506690041538,0.2532542841616624,0.38160434776216234,0.4136949521477603,0.27815090261774533,0.22148939961903064,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,14.0,0.6786095310568907,8,0.5885970656125489,21.0,15.0,1.307058336753398,0.17146052598645342,1.4653452352600513,0.31192405430482284,0.0,1.0,0.0,1.258894329766731,1.0,1.0,0.0,1.9014075625873097,1
7.0,-0.2990744392252408,0.7609748008682339,0.43158081057843817,1.0822506690041538,0.2532542841616624,0.38160434776216234,-0.5719924289064693,-0.872905969055571,-0.4235592219778894,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,14.0,0.6511836256197299,8,0.5885970656125489,21.0,15.0,0.15287232008811652,0.17146052598645342,1.4653452352600513,-0.6490973401904855,0.0,1.0,0.0,-0.06963133573190575,1.0,1.0,0.0,-0.36527040018124635,1
14.0,0.9798367305536086,0.6479513304441978,0.539370290827085,1.0822506690041538,0.2532542841616624,0.38160434776216234,0.4136949521477603,1.1307856223757575,0.3958268649154964,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,16.0,1.6110903159203431,8,1.3071393789194117,21.0,9.0,0.15287232008811652,0.17146052598645342,1.4653452352600513,0.31192405430482284,0.0,1.0,0.0,1.258894329766731,1.0,0.0,1.0,-0.36527040018124635,1
