手机型号,上市时间,最低价格,最高价格,最小RAM,最大RAM,最小ROM,最大ROM,重量,屏幕尺寸,x0_AMOLED,x0_LCD,x0_LTPS,x0_LTPS LCD,x0_OLED,x0_Optic AMOLED,x0_Super AMOLED,x0_TFT LCD,分辨率,芯片型号,CPU得分,CPU核数,CPU主频率,GPU,操作系统,摄像头数,后置主像素,前置主像素,电池容量,x0_Micro USB,x0_Type-C,x0_USB-C,充电功率,x0_全网通,x0_No,x0_Yes,无线充电,target
6.0,0.8459114667947685,2.1090386790997453,2.2800964614854666,1.271556019402396,0.360287652202086,0.45468334640362246,2.539090411014295,0.5762549439006368,0.3506817752703689,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,17.0,1.6160522189253144,8,1.4273945142012123,0.0,17.0,1.4574082749947637,0.19822750088634494,1.5053509183052618,0.9220725048877484,0.0,1.0,0.0,1.3978515814290724,1.0,0.0,1.0,3.8282864612987653,1
4.0,0.8459114667947685,1.2671565670954612,1.0750929513224783,1.271556019402396,0.360287652202086,0.45468334640362246,0.445773907484847,0.4828298090219352,0.5266070585927681,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,17.0,1.6160522189253144,8,1.4273945142012123,0.0,17.0,0.2890727157014407,0.19822750088634494,0.5661443056373677,0.369728695994328,0.0,1.0,0.0,1.3978515814290724,1.0,0.0,1.0,3.8282864612987653,1
5.0,0.523540113034706,1.8083664962410724,1.5269692676335989,1.271556019402396,0.360287652202086,0.45468334640362246,0.445773907484847,0.5762549439006368,0.3506817752703689,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,16.0,1.3464548938543381,8,1.4273945142012123,0.0,17.0,1.4574082749947637,0.19822750088634494,1.5053509183052618,0.9220725048877484,0.0,1.0,0.0,1.3978515814290724,1.0,1.0,0.0,3.8282864612987653,1
3.0,0.523540113034706,0.7860810745215847,0.5730081554212333,0.2013526885387744,0.360287652202086,0.45468334640362246,-0.6008843442798769,0.4828298090219352,0.5266070585927681,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,16.0,1.7107756034097126,8,1.4273945142012123,0.0,17.0,0.2890727157014407,0.19822750088634494,0.5661443056373677,0.369728695994328,0.0,1.0,0.0,1.3978515814290724,1.0,1.0,0.0,3.8282864612987653,0
1.0,-1.2468599445000625,1.2671565670954612,1.1253014309126028,0.2013526885387744,0.360287652202086,0.45468334640362246,0.445773907484847,0.1558418369464794,0.07702022343552412,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,15.0,0.6323863031258032,8,0.6518383784584474,21.0,13.0,0.2890727157014407,0.19822750088634494,0.5661443056373677,0.369728695994328,0.0,1.0,0.0,1.3978515814290724,1.0,1.0,0.0,1.943691223002397,0
0.0,-1.2468599445000625,-0.11593547405443379,-0.12991055884050967,0.2013526885387744,-0.5244693671296191,-0.7640879033691272,-0.6008843442798769,0.10912926950712858,0.3506817752703689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,0.6250998889346961,8,0.6518383784584474,21.0,13.0,0.2890727157014407,-1.1987079109721237,0.5661443056373677,0.0014994900653810654,0.0,1.0,0.0,1.3978515814290724,1.0,1.0,0.0,-0.4120528248680633,1
2.0,0.523540113034706,1.146887693951992,0.7236335941916069,1.271556019402396,0.360287652202086,2.892225845949122,0.445773907484847,2.2111948042779157,1.6603477733371206,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,0.778114586947953,8,0.6518383784584474,21.0,13.0,0.2890727157014407,0.19822750088634494,0.5661443056373677,0.369728695994328,0.0,1.0,0.0,1.3978515814290724,1.0,0.0,1.0,-0.4120528248680633,0
8.0,-0.28503065951102413,1.2605417790725704,1.0695700185675647,1.271556019402396,0.360287652202086,0.45468334640362246,0.445773907484847,0.29597953926453185,0.23339825305543493,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,14.0,0.7125368592279863,8,0.6518383784584474,21.0,15.0,1.4574082749947637,0.19822750088634494,1.5053509183052618,0.369728695994328,0.0,1.0,0.0,1.3978515814290724,1.0,1.0,0.0,1.943691223002397,1
7.0,-0.28503065951102413,0.779466286498694,0.41685978389594613,1.271556019402396,0.360287652202086,0.45468334640362246,-0.6008843442798769,-0.9652597815979405,-0.4898501339366521,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,14.0,0.6833912024635559,8,0.6518383784584474,21.0,15.0,0.2890727157014407,0.19822750088634494,1.5053509183052618,-0.6429016203102761,0.0,1.0,0.0,-0.033514798022174046,1.0,1.0,0.0,-0.4120528248680633,1
14.0,1.0044547555292254,0.6658122013781156,0.5227996758311089,1.271556019402396,0.360287652202086,0.45468334640362246,0.445773907484847,1.2302308880515485,0.4288707900803243,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,16.0,1.7034891892186044,8,1.4273945142012123,21.0,9.0,0.2890727157014407,0.19822750088634494,1.5053509183052618,0.369728695994328,0.0,1.0,0.0,1.3978515814290724,1.0,0.0,1.0,-0.4120528248680633,1
15.0,1.0044547555292254,-0.11593547405443379,-0.33074447720100764,1.271556019402396,0.360287652202086,0.45468334640362246,-0.6008843442798769,-0.12443356768962556,0.09656747713801427,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,0.6032406463613739,8,-0.33252133229198627,25.0,9.0,1.4574082749947637,0.5973519042744788,-0.3730623070305263,0.369728695994328,0.0,1.0,0.0,1.3978515814290724,1.0,1.0,0.0,-0.4120528248680633,0
10.0,0.03734069424903824,0.06446783566076991,0.020714879929863837,1.271556019402396,0.360287652202086,0.45468334640362246,0.445773907484847,-0.6849843769618355,0.07702022343552412,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,14.0,0.7854010011390611,8,0.6518383784584474,22.0,15.0,1.4574082749947637,0.5973519042744788,1.5053509183052618,-0.9190735247569863,0.0,1.0,0.0,1.3978515814290724,1.0,1.0,0.0,-0.4120528248680633,1
13.0,0.8459114667947685,-0.3564732203413721,-0.5315783955615057,0.2013526885387744,-0.5244693671296191,0.45468334640362246,-0.6008843442798769,-0.3579964048863797,-0.17709407469683053,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,0.6323863031258032,8,-0.33252133229198627,25.0,15.0,1.4574082749947637,0.5973519042744788,1.5053509183052618,0.0014994900653810654,0.0,1.0,0.0,-0.2379957093723521,1.0,1.0,0.0,-0.4120528248680633,1
12.0,0.19588398298349513,-0.17606991062616836,-0.33074447720100764,1.271556019402396,0.360287652202086,0.45468334640362246,0.445773907484847,-0.3579964048863797,-0.17709407469683053,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,0.5959542321702658,8,-0.33252133229198627,24.0,15.0,1.4574082749947637,0.5973519042744788,1.5053509183052618,0.0014994900653810654,0.0,1.0,0.0,-0.2379957093723521,1.0,1.0,0.0,-0.4120528248680633,0
11.0,0.03734069424903824,-0.3564732203413721,-0.43116143638125665,0.2013526885387744,0.360287652202086,0.45468334640362246,-0.6008843442798769,-0.3579964048863797,0.09656747713801427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,8.0,-0.926906333771199,8,-0.5413249072996534,24.0,15.0,1.4574082749947637,-0.6000213058899229,0.5661443056373677,0.0014994900653810654,0.0,1.0,0.0,-1.0559193547730643,1.0,1.0,0.0,-0.4120528248680633,0
9.0,-0.44885872453662956,-0.7172798397717794,-0.7324123139220037,-0.8688506423248472,-0.5244693671296191,0.45468334640362246,-0.6008843442798769,-7.785294627743161,-0.39211386542420656,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,8.0,-0.9560519905356294,8,-0.5413249072996534,24.0,13.0,0.2890727157014407,-0.6000213058899229,1.5053509183052618,-1.2136568895001438,0.0,1.0,0.0,-0.4015804384524945,1.0,1.0,0.0,-0.4120528248680633,0
24.0,0.03734069424903824,-0.4767420934848412,-0.6319953547417546,0.2013526885387744,-0.5244693671296191,0.45468334640362246,-0.6008843442798769,-1.1988226187946946,-0.27483034320927435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,8.0,-0.9341927479623071,8,-0.5413249072996534,24.0,13.0,0.2890727157014407,-0.6000213058899229,-1.3122689196984203,-1.1031881277214597,1.0,0.0,0.0,-1.0559193547730643,1.0,1.0,0.0,-0.4120528248680633,0
17.0,0.523540113034706,-0.6270781849141777,-0.4813699159713812,-0.8688506423248472,0.360287652202086,0.45468334640362246,-0.6008843442798769,0.5201998629734164,0.46796529748530113,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,-0.9341927479623071,8,-0.5413249072996534,24.0,15.0,0.2890727157014407,0.5973519042744788,-0.3730623070305263,0.0014994900653810654,0.0,1.0,0.0,-1.0559193547730643,1.0,1.0,0.0,-0.4120528248680633,1
16.0,0.6820834017691629,-0.777414276343514,-0.7826207935121282,-0.8688506423248472,-0.5244693671296191,-0.7640879033691272,-0.6008843442798769,-0.4514215397650813,0.07702022343552412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,-0.9341927479623071,8,-0.5413249072996534,24.0,15.0,-0.8792628435918821,0.5973519042744788,-1.3122689196984203,0.0014994900653810654,1.0,0.0,0.0,-1.0559193547730643,1.0,1.0,0.0,-0.4120528248680633,0
18.0,0.8459114667947685,-0.5669437483424431,-0.43116143638125665,0.2013526885387744,0.360287652202086,-0.7640879033691272,-0.6008843442798769,-1.058684916476642,-0.09890505988687512,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,8.0,-0.9341927479623071,8,-0.5413249072996534,24.0,15.0,0.2890727157014407,0.5973519042744788,-0.3730623070305263,0.0014994900653810654,0.0,1.0,0.0,-1.0559193547730643,1.0,1.0,0.0,-0.4120528248680633,0
19.0,1.4853693980237446,-0.8375487129152486,-0.8328292731022526,-0.8688506423248472,-1.4092263864613241,-0.7640879033691272,-0.6008843442798769,-0.031008432810923903,-0.09890505988687512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,26.0,-1.815848865086313,8,-0.24303408586012926,18.0,17.0,-0.8792628435918821,-1.148817360548607,-1.3122689196984203,1.8426455197101157,1.0,0.0,0.0,-1.0559193547730643,1.0,1.0,0.0,-0.4120528248680633,0
21.0,-0.9244885907400003,-0.8375487129152486,-0.8830377526923772,-0.8688506423248472,-1.4092263864613241,-0.7640879033691272,-0.6008843442798769,-0.8251220792798879,-0.17709407469683053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,33.0,-1.575397196779766,8,-1.734488193057755,12.0,12.0,-0.8792628435918821,-1.148817360548607,-1.3122689196984203,0.0014994900653810654,1.0,0.0,0.0,-1.0559193547730643,1.0,1.0,0.0,-0.4120528248680633,1
22.0,-1.2468599445000625,-0.8375487129152486,-0.7324123139220037,-0.8688506423248472,-0.5244693671296191,-0.7640879033691272,-0.6008843442798769,-0.5915592420831338,0.29204001416290193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,-0.9341927479623071,8,-0.5413249072996534,24.0,12.0,-0.8792628435918821,-1.148817360548607,-0.3730623070305263,0.0014994900653810654,1.0,0.0,0.0,-1.0559193547730643,1.0,1.0,0.0,-0.4120528248680633,1
20.0,-1.8916026520201874,-1.1382208957739215,-1.1842886302331241,-1.9390539731884688,-2.2939834057930293,-1.373473528255502,-1.38587803310342,-2.0396488327030093,-1.7604216245984252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,27.0,-2.602781597725922,4,-2.629360657376331,31.0,12.0,-2.047598402885205,-1.148817360548607,-1.6644713994488805,-1.802823618986459,1.0,0.0,0.0,-1.0559193547730643,1.0,1.0,0.0,-0.4120528248680633,0
